gisid,landarea,buildingvalue,landvalue,owner_name,geometry,pct_bldg
133-36,0,4496000,0,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1142571258999, -71.1143099669729, -71.114496187583, -71.1146630595468, -71.1148165729354, -71.1147410821151, -71.1147458923955, -71.1147043458754, -71.1145758029189, -71.1144429046014, -71.114412894317, -71.1142608405876, -71.1142474738591, -71.1142451466924, -71.1143709226663, -71.1142954592086, -71.1142264962228, -71.114180344055, -71.1142571258999, 42.3705567258935, 42.3705027075982, 42.3705685036322, 42.3706273743596, 42.3706922645171, 42.3708074000554, 42.3708135628939, 42.3708724213487, 
42.3710579017841, 42.371004632968, 42.3709921840378, 42.3709306185726, 42.3709257716164, 42.3709250777935, 42.3707443905747, 42.370715324773, 42.3706883387786, 42.3706710335182, 42.3705567258935)))",1
145-36,23341,2223400,2651500,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1121741582036, -71.1122601716156, -71.1123255268592, -71.1118287851558, -71.1117067852677, -71.1116866082626, -71.1121241284834, -71.1121338417212, -71.1121685984118, -71.1121741582036, 42.3771176615429, 42.3773889285172, 42.3775949541077, 42.3776838334183, 42.3772882754516, 42.3772230356527, 42.377128469156, 42.377125757834, 42.3771190148352, 42.3771176615429)))",0.4560914070032206
137-42,63986,50815000,16790200,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.112870891887, -71.1126977927501, -71.1126744757295, -71.1126719308304, -71.1123982786644, -71.112417266056, -71.1124626639996, -71.1126211246249, -71.1126246327466, -71.1128039705306, -71.1129709118042, -71.1129930739603, -71.1130258694204, -71.1130581795979, -71.1130902635457, -71.1131218664089, -71.1131530168026, -71.1131839081574, -71.1132143184281, -71.1132443502467, -71.1132738639745, -71.1133031144693, -71.1133328788902, -71.1130505522732, -71.1134707446121, -71.1134662232869, 
-71.1134395756515, -71.1134074436127, -71.1133670213949, -71.1133615538328, -71.1133007502724, -71.1131683249951, -71.1127758522346, -71.1128384266487, -71.1128385785439, -71.1128457292029, -71.112870891887, 42.3747683385934, 42.3747458033513, 42.3748427552568, 42.3748534211309, 42.3748188845216, 42.3747400564039, 42.374542636106, 42.3743085515895, 42.3743037612752, 42.3743770281014, 42.3741477737726, 42.3741547633983, 42.3741658500186, 42.3741776210154, 42.3741900772605, 42.3742025318785, 42.3742163570027, 
42.3742301812473, 42.374244003866, 42.3742591972407, 42.3742743888657, 42.3742902656163, 42.3743068301052, 42.3747044573549, 42.374759379421, 42.3747785727373, 42.374899908407, 42.375046608307, 42.3752296392898, 42.3752522595103, 42.3752458809704, 42.3752289713078, 42.3751796296077, 42.3749088081769, 42.3749081775514, 42.3748766447818, 42.3747683385934)))",0.7516433647115902
142-45,22074,16426400,15328900,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1106566857742, -71.110581144808, -71.1105141444004, -71.1104462187993, -71.1103227940832, -71.1103635799567, -71.1104050899097, -71.1104340044254, -71.1104461430381, -71.1108859150786, -71.1108837547867, -71.1108791373577, -71.1107901048875, -71.1107603725775, -71.1107600319002, -71.1106566857742, 42.3761061474271, 42.3760949154472, 42.3760850843698, 42.3760752501204, 42.3760569956308, 42.3758945474953, 42.3757286717017, 42.3756128325588, 42.3755648249543, 42.375626024345, 42.3756342766959, 
42.3756328616003, 42.3760098703575, 42.37612035587, 42.3761215895498, 42.3761061474271)))",0.5172805799346881
131-67,2355,579400,1771900,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1144455102488, -71.1144474058763, -71.114455731717, -71.1145126351017, -71.1146067600701, -71.1146354337882, -71.1146319061782, -71.1144455102488, 42.3679182424521, 42.3677954513699, 42.3677954792775, 42.3677970420359, 42.3677994155054, 42.3678001975946, 42.3679236692301, 42.3679182424521)))",0.24641687577085017
167-11,35034,10558300,11547200,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1234146115393, -71.1234325651631, -71.1234517071329, -71.1234719264254, -71.1234935561118, -71.1235163782286, -71.1235272217941, -71.1229173671568, -71.1228593330621, -71.122761057775, -71.1226144534514, -71.1224837183479, -71.122882315246, -71.1231424050151, -71.1232454012446, -71.1234146115393, 42.3747717813016, 42.3747896765366, 42.3748068896408, 42.37482342025, 42.374839269454, 42.3748537505208, 42.3748599601687, 42.3751934254008, 42.3751507020531, 42.3750666856531, 42.3749447796504, 
42.374836618451, 42.3746294038693, 42.3744937386703, 42.3745990367714, 42.3747717813016)))",0.47763226346384385
165-40,18801,12020600,8154900,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.122528543835, -71.1226123074978, -71.1226237339055, -71.1226312007514, -71.1226461385284, -71.1226559972098, -71.1226874404237, -71.1227929336148, -71.1229916287204, -71.1231956409968, -71.1231568549697, -71.123074210734, -71.1230261495509, -71.1229183004982, -71.1227223713403, -71.122528543835, 42.3731052836686, 42.3729786451546, 42.372961532188, 42.3729505803938, 42.3729279907992, 42.3729131228259, 42.3728656986305, 42.3727068883998, 42.3727809437195, 42.3728570741649, 42.372888503942, 
42.3730138019238, 42.3730863623488, 42.3732492537248, 42.3731765793986, 42.3731052836686)))",0.5958018388639686
161-94,15864,9090800,4112200,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.117356479101, -71.1173565725748, -71.1173653777468, -71.1173947916671, -71.1177356938278, -71.1176967361609, -71.1174982829769, -71.1174768052768, -71.117156472547, -71.1171781042175, -71.1171781930042, -71.1173492294512, -71.117356479101, 42.3710370004967, 42.3710368421659, 42.3710219376886, 42.3709740142258, 42.3710903987422, 42.3711499528873, 42.3714538579458, 42.3714867428551, 42.3713711120675, 42.3713349734285, 42.3713348253725, 42.3710486386967, 42.3710370004967)))",0.6885404832235098
157-26,8376,5889900,3498400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1193730295572, -71.1193944114906, -71.1193995189949, -71.1194341899523, -71.1197334310027, -71.119712907069, -71.1197058079118, -71.1193980078854, -71.1193730295572, 42.3802733744079, 42.3800230489067, 42.3800230658038, 42.3800245525335, 42.38004269245, 42.3802244191378, 42.3802909393269, 42.3802741430626, 42.3802733744079)))",0.6273659768009118
147-41,222731,20121000,25302400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1088363042963, -71.1088397960578, -71.1089011484203, -71.109276185987, -71.1093233391486, -71.1093906102906, -71.1094770645135, -71.109535180948, -71.1095960562334, -71.1096765831082, -71.109760724339, -71.1098048812896, -71.1099364406854, -71.1100273432926, -71.1100134247097, -71.110013142089, -71.1100097541596, -71.110455760342, -71.1105133790773, -71.1105897380546, -71.110560674171, -71.1105576916565, -71.1104992803428, -71.1108059320193, -71.1112546166679, -71.1112777947746, -71.1113568507868, 
-71.1114103442694, -71.1114233399917, -71.1114352662845, -71.1114457821235, -71.1114553314705, -71.1114635156334, -71.1114707660983, -71.1114764293104, -71.1114808627341, -71.1114830384884, -71.1114828823799, -71.1114801728451, -71.1114753905194, -71.1114680544245, -71.1114584320648, -71.1114467370752, -71.1114368935582, -71.1114252449202, -71.1114114908561, -71.1113958904428, -71.1113787069734, -71.1111083861227, -71.111102101684, -71.1110965162401, -71.1110914077231, -71.1110869654086, -71.1110832261393, 
-71.1110801862025, -71.1110780385869, -71.111076626978, -71.1110758445613, -71.1110758023709, -71.111076722475, -71.1110783087832, -71.1110805242845, -71.1110835582547, -71.1110874392674, -71.1110918096975, -71.1110968424513, -71.1111025824718, -71.1111090299278, -71.1106150846753, -71.1103364138742, -71.1103308367587, -71.1094673798404, -71.1094520181597, -71.1094668407321, -71.1094735651901, -71.1090857120807, -71.1089116959405, -71.1088870458925, -71.1088796097518, -71.1088712114936, -71.10883213802, 
-71.1088363042963, 42.3801872660326, 42.3801852198524, 42.3801394652657, 42.3798642745512, 42.3798342499158, 42.3798008634812, 42.3797716582316, 42.379764309302, 42.3797597137753, 42.3797613590496, 42.3797650745801, 42.3797707124948, 42.3797793908366, 42.3797790129915, 42.3801994945158, 42.3802080001739, 42.3803085588433, 42.3802702808713, 42.3802656738316, 42.380259072145, 42.3801755549057, 42.3801670381937, 42.3800008233741, 42.3799751064941, 42.3798016890577, 42.3797942211839, 42.3799509002518, 
42.3800574136484, 42.3800807546943, 42.3801034609906, 42.3801268210986, 42.3801508639587, 42.3801742161899, 42.3801989373019, 42.3802229670355, 42.3802483646504, 42.3802737546407, 42.3802991641966, 42.3803245102479, 42.3803498767397, 42.3803752346066, 42.3803992127169, 42.3804231838262, 42.3804409870315, 42.3804574121043, 42.3804731440471, 42.3804881837344, 42.3805018460373, 42.3807101678721, 42.3807149487499, 42.3807204180074, 42.3807265748943, 42.380732734033, 42.3807389229889, 42.3807457454447, 
42.3807519123403, 42.3807587677413, 42.3807656252693, 42.3807724852997, 42.3807793485832, 42.3807862141188, 42.3807930817814, 42.3807992661935, 42.3808061394862, 42.3808116698393, 42.380817833567, 42.3808233411087, 42.3808281650242, 42.3811797931891, 42.3813908290037, 42.3813949262175, 42.3807046090816, 42.3806928946391, 42.3806840267304, 42.3806799334526, 42.3803692223746, 42.3802293694107, 42.3802114491581, 42.3802169120175, 42.3802223441647, 42.3801906545136, 42.3801872660326)))",0.4429655199742864
169-82,5071,861300,5842900,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1202654142952, -71.1202564052101, -71.1202478810138, -71.1202395790288, -71.1202319473001, -71.1202250598428, -71.1202186205968, -71.1202128803758, -71.1202080365759, -71.1202037108824, -71.1202002732058, -71.1201975431222, -71.1201957339428, -71.1201714891639, -71.120443212639, -71.1205245292341, -71.1203722798326, -71.1203632293987, -71.1203539610364, -71.1203442527007, -71.1203345443643, -71.1203245852109, -71.1203144040119, -71.1203042310497, -71.1202942801332, -71.1202843333356, 
-71.1202748717556, -71.1202654142952, 42.3743141451579, 42.3743106578876, 42.3743065410807, 42.374302397566, 42.3742975702455, 42.3742920593636, 42.3742858639431, 42.374280356848, 42.3742734806762, 42.3742666062148, 42.3742597621258, 42.3742521794734, 42.3742453133202, 42.3741536087053, 42.3741088991014, 42.3742614908124, 42.3743103817677, 42.3743137819898, 42.374316495474, 42.3743185214874, 42.3743205475, 42.374321200648, 42.3743218530622, 42.3743211334668, 42.3743204146034, 42.3743190097347, 42.3743169204489, 
42.3743141451579)))",0.12847170430476418
160-25,9162,9237800,11033100,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1172832194988, -71.1174867033488, -71.1176037577654, -71.1176192530235, -71.1177467516546, -71.117639466277, -71.1175480363661, -71.1174064506709, -71.1171958816179, -71.1172832194988, 42.3726310362746, 42.3726831919126, 42.3727137658985, 42.372678830473, 42.372708066994, 42.3729286083286, 42.3729015496709, 42.3728640338599, 42.3728084518549, 42.3726310362746)))",0.4557173090489322
130-3,2640,705800,688800,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1148597221657, -71.1148717936767, -71.1149000742511, -71.1150409412641, -71.1149967301253, -71.1148597221657, 42.3646576077682, 42.364607568753, 42.3644903540781, 42.3644784772894, 42.3646779610351, 42.3646576077682)))",0.5060949376165209
